time,Clostridium,gnavus,bifidum,bacteroidetes
1,438,13,25,53
2,890,6,30,21
3,7680,8,15,33
4,8974,5,19,51
5,1260,14,16,57
6,3267,5,25,87
7,19449,9,25,32
8,1451,9,8976,51
9,148,3,9576,203
10,188,3,4523,131
11,167,12,21440,2927
12,977,10,12502,705
13,1459,18,10528,425
14,1467,7,20427,130
15,10849,2916,14677,134
16,648,851,18338,5935
17,1448,194,15785,502
18,6970,3679,8824,2062
19,139,46,7831,167
20,16456,4409,10903,48
21,1113,6640,18736,63
22,539,3219,22212,5591
23,3989,4222,8428,130
24,542,2758,17703,183
25,6,415,34585,143
26,41,6318,21690,33
27,91,155,24630,33
28,6092,623,33250,24
29,268,1060,28448,524
30,36,8054,25587,9663
31,4033,925,7638,16725
32,2,10561,15396,22565
33,33,3504,1834,43217
34,4,13614,975,93585
35,10,11319,1209,69751
36,6,3124,90,121096
37,4,23422,2135,42027
38,3,2011,872,77686
39,1,16088,2465,77458
40,8,9432,936,23805
41,71,317,674,5830
42,2,1414,348,5754
43,4,569,1094,517
44,14,10928,696,61278
45,2,4642,763,7546
46,5,10206,728,38580
47,4,10339,2152,38655
48,4,10686,8487,27656
49,1,6568,188,110189
50,3,11600,511,75690
